procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  3      0 2652684  39968 786080    0    0     0     8 1205  326  0  1 49 50  0  0
 0  3      0 2652684  39976 786076    0    0     0    28 1206  327  1  0 49 51  0  0
 0  3      0 2652684  39976 786084    0    0     0     0 1187  296  0  1 49 50  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  3      0 2652684  39976 786092    0    0     0     0 1187  319  0  1 49 50  0  0
 0  3      0 2652684  39976 786096    0    0     0     0 1246  292  0  1 49 50  0  0
 0  3      0 2652684  39976 786100    0    0     0     0 1179  298  1  1 48 51  0  0
 0  3      0 2652684  39984 786096    0    0     0    36 1295  425  0  1 49 50  0  0
 0  3      0 2652684  39984 786108    0    0     0    16 1329  334  1  1 48 50  0  0
 0  3      0 2652684  39984 786112    0    0     0     0 1229  297  0  1 49 50  0  0
 0  3      0 2652684  39984 786116    0    0     0     0 1195  302  0  1 49 51  0  0
 0  3      0 2652684  39984 786120    0    0     0     0 1195  299  0  1 49 50  0  0
 0  3      0 2652684  39992 786120    0    0     0    36 1202  329  1  1 48 51  0  0
 0  3      0 2652684  39992 786128    0    0     0     0 1183  305  0  1 49 50  0  0
 0  0      0 2652684  39992 783936    0    0     0     1 1490  737  1  2 62 36  0  0
